"year","sp","position","tree","resist.value","rp","PLA_dry_percent","LMA_g_per_m2","Chl_m2_per_g","mean_TLP_Mpa","WD_g_per_cm3","height.ln.m","height.m","position_all"
"1977","quru","canopy","80316",1.17,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44552942843211,85.2449970176963,"dominant"
"1999","quru","canopy","80316",0.82,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.45093352730287,85.7069164146953,"dominant"
"1966","quru","canopy","80491",0.74,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.00538940393417,20.1940782186225,"dominant"
"1977","quru","canopy","80491",0.89,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.0603625589986,21.3352910617069,"dominant"
"1999","quru","canopy","80491",1.16,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.13618357894068,23.0158608155668,"dominant"
"1966","quru","canopy","70502",0.75,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.32055898646975,75.2306694670467,"co-dominant"
"1977","quru","canopy","70502",1.01,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.32355872294749,75.4566804677348,"co-dominant"
"1999","quru","canopy","70502",0.76,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.32803615238196,75.7952899141539,"co-dominant"
"1966","quru","canopy","70407",1.1,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.39008807948219,80.6475220596379,"dominant"
"1977","quru","canopy","70407",0.82,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.39522162475861,81.0625942499598,"dominant"
"1999","quru","canopy","70407",0.98,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.40408982997441,81.7846710011915,"dominant"
"1966","quru","canopy","70421",0.97,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.32969700653631,75.9212794324341,"co-dominant"
"1977","quru","canopy","70421",0.82,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.3346810992987,76.3006226874729,"co-dominant"
"1999","quru","canopy","70421",1.04,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.34158611939629,76.8293031947615,"co-dominant"
"1966","quru","canopy","60550",0.84,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.28203969356635,72.3879387430126,"co-dominant"
"1977","quru","canopy","60550",0.89,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.28411330916215,72.5381992391501,"co-dominant"
"1999","quru","canopy","60550",0.86,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.28813355547887,72.8304076487886,"co-dominant"
"1977","quru","canopy","161524",1.06,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.98271920902713,53.6627562646169,"co-dominant"
"1999","quru","canopy","161524",0.86,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.99817878826269,54.4988057324305,"co-dominant"
"1966","quru","canopy","161576",0.92,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.29393362252471,73.2540563037741,"dominant"
"1977","quru","canopy","161576",0.79,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.30027221759888,73.7198588113889,"dominant"
"1999","quru","canopy","161576",0.85,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.30863511935107,74.3389558635222,"dominant"
"1966","quru","canopy","172202",1.01,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.305863535613,74.1332044826456,"co-dominant"
"1977","quru","canopy","172202",1.4,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.30844142934988,74.3245585454254,"co-dominant"
"1999","quru","canopy","172202",0.91,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.31128792930082,74.5364247932562,"co-dominant"
"1966","quru","canopy","122060",1.11,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.37685405395805,79.587261923495,"co-dominant"
"1977","quru","canopy","122060",0.85,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.38198086848933,79.9963387890162,"co-dominant"
"1999","quru","canopy","122060",0.79,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.3886729166697,80.5334734032416,"co-dominant"
"1966","quru","canopy","111314",0.77,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.40863889653071,82.1575624237593,"co-dominant"
"1977","quru","canopy","111314",0.97,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.41169077648523,82.4086804377404,"co-dominant"
"1999","quru","canopy","111314",1.06,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.41795452173503,82.9264874309308,"co-dominant"
