"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh.ln.cm","height.ln.m","position_all","TWI","TWI.ln"
"1966","80640",-131.37,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,3.91382410547577,3.35167507571544,"co-dominant",6.96279253255791,1.94058061981895
"1977","80640",-526.35,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,3.95254875568468,3.37653630114956,"co-dominant",6.96279253255791,1.94058061981895
"1999","80640",399.23,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,3.99675643879549,3.40491763370671,"co-dominant",6.96279253255791,1.94058061981895
"1966","70162",-802.24,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,299,3.71509331881286,3.22408991067786,"co-dominant",5.34260840565491,1.67571399919012
"1977","70162",-692.69,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,299,3.74739292518274,3.24482625796732,"co-dominant",5.34260840565491,1.67571399919012
"1999","70162",706.1,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,299,3.79585474659251,3.27593874731239,"co-dominant",5.34260840565491,1.67571399919012
"1966","91302",-721.48,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,310,3.91439241818196,3.35203993247282,"co-dominant",5.20222786183411,1.64908696880342
"1977","91302",-978.52,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,310,3.9802394981361,3.39431375780337,"co-dominant",5.20222786183411,1.64908696880342
"1999","91302",-625.29,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,310,4.06820357860704,3.45078669746572,"co-dominant",5.20222786183411,1.64908696880342
"1966","91332",-363.61,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,304,3.65654400986188,3.18650125433133,"dominant",6.25977611545248,1.83414442016773
"1977","91332",-424.27,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,304,3.71705029489728,3.22534628932405,"dominant",6.25977611545248,1.83414442016773
"1999","91332",-181.57,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,304,3.82564873040802,3.29506648492195,"dominant",6.25977611545248,1.83414442016773
"1966","50336",-248.37,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,294,3.37637481608588,3.00663263192713,"co-dominant",5.91095289896059,1.77680705343975
"1977","50336",-332.79,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,294,3.40266564364888,3.02351134322258,"co-dominant",5.91095289896059,1.77680705343975
"1999","50336",161.7,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,294,3.47788670428535,3.07180326415119,"co-dominant",5.91095289896059,1.77680705343975
"1966","80554",-90.37,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,289,3.56185341642418,3.12570989334432,"dominant",6.26964133114252,1.83571914904411
"1977","80554",-828.28,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,289,3.65190418288486,3.18352248541208,"dominant",6.26964133114252,1.83571914904411
"1999","80554",-566.17,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,289,3.75813612858798,3.25172339455348,"dominant",6.26964133114252,1.83571914904411
"1966","50356",-269.9,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,3.3943102619554,3.01814718817537,"dominant",6.36103582716175,1.85019122999675
"1977","50356",-635.59,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,3.46035409411413,3.06054732842127,"dominant",6.36103582716175,1.85019122999675
"1999","50356",-20.71,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,3.60083028922243,3.1507330456808,"dominant",6.36103582716175,1.85019122999675
"1966","90552",-53.38,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,296,3.55718452419476,3.12271246453303,"co-dominant",5.30259911551131,1.66819709950479
